tweet,sentiment
RT scrowder The American public NEEDS know new reliable data shows CoVid mortality rate As low,neutral
Some us STILL even recieved Stimulusdeposit yet Some us still received st caresAct CaresAct laid due COVID The minimal basic life neccesities still need paid people struggling UBI UBInow,neutral
RT MDMEMA ALERT We received several calls regarding questions disinfectant use COVID This reminder,negative
RT susanj Which Corrupt realDonaldTrump fired IG Glenn Fine oversight Trillion Virus stimulus could,neutral
RT lewis goodall NEW I leaked covid death figures Durham County Council days April th Nearly tho,neutral
RT iingwen Don miss Vice President Chen videoconference JohnsHopkinsSPH Dean EllenJMacKenzie amp AIT Director Brent Christensen,neutral
healthgovau And excersise opinions ridiculed Scam happens These PEOPLE POWER FORCE YOU HOME WITH A MASSIVE INFRINGEMENT A FINE FOR HAVING AN OPINOIN If SCARED COVID VIRUS FAKE fined thousand dollars https co Co p AAf,neutral
Thank god T V boyfriends QuarantineLife COVID,positive
Would buy house go guy mask That question Lol covid covidforlife even hashtags sound silly get real people future https co VL YQD kGZ,positive
RT APaolicelli Looking patient family member patient tested positive COVID part New York State,positive
RT BandyXLee Does surprise We warned would happen It show mental health expertise matters Stop dwelling,positive
RT lindanewnham Children nurses Japan excluded day care virus fears https co CYRfIGvChQ Japan COVID,neutral
Bless Us Lord Get Out Of COVID https co p hS M FL,negative
RT TheClearCider ChickenDonald TrumpIsALaughingStock And I thought I silly one I made video Trump using witc,neutral
RT KevinMKruse Have tried gamma rays I hear makes body change strongly powerfully And bite,positive
RT nicd sa UPDATE The total number confirmed COVID cases South Africa Today regrettably report new COVID relat,neutral
RT NCDCgov new cases COVID reported Lagos Gombe FCT Zamfara Edo Ogun Oyo,negative
RT GregAbbott TX Kendra Scott amp Allens Boots among Texas stores reopening today retail go Texas entrepreneurs getting b,negative
RT ResisterSis Today I citizen United States call congress amp presidents cabinet apply thAmendment remov,positive
Well done Gwenno amp team,positive
Is sega,negative
NCDC like thank k followers,positive
A beautiful weekend read inspire The way covid isolation kindness In blink eye https co YtBfc V OH,positive
RT spitfiretyler EXCLUSIVE Robert F Kennedy Jr Drops Bombshells Dr Fauci For Medical Cover Ups Fraud Fauci Poisoned Entir,neutral
RT va shiva JUST IN Unbelievable FBI Raids medical facility providing high dose IV VITAMIN C THERAPY COVID patients ht,neutral
RT ShelbyRatifyERA TrumpIsALaughingStock Perhaps I laughing There telling disparity amp access healthcare,neutral
RT BerniceKing Let choose CompassionateWayForward,negative
RT libijian Great news vaccine COVID may ready put use coming September,positive
RT tveitdal This effect coronavirus air pollution across world https co xRnjubiZl wef https co EYYdhR,neutral
RT FranksBullitts I would tell COVID joke probably get,neutral
RT vannschaffner JohnforNM PinonPost next nmpol nmleg nmgov https co hNLsHrKNDz,negative
RT DoctorJSpicer No joke patient swallow Lysol disinfectant couple weeks ago prevent COVID infection He made,neutral
My year old nephew admitted hospital bronchial cast It extremely rare disorder high mortality rate It might related COVID If believe prayer please send way Or good thoughts positive karma etc,neutral
RT DoctorJSpicer No joke patient swallow Lysol disinfectant couple weeks ago prevent COVID infection He made,neutral
Brooklyn AI Meetup longer limited Brooklyn since going virtual due Covid Tuesday pm EST https co I R Ef FBi blacktechtwitter blacktwitter artificialintelligence datascience machinelearning deeplearning neuralnetworks tech technology https co MHRRvBgk F,negative
Food amp Water Watch says USDA inspectors protected COVID https co eyEgqCM I foodsafetynews FoodSafety USDA COVID https co omkWL scH,negative
RT Inevitable ET Good ole FBI Protecting us vitamin C https co B S gjiiDX,positive
RT DCPPreQual We co produced guidance discussing DClinPsy Training adapted address concerns raised,negative
RT poojaotherwise Join us live webinar April ET PT socialisolation outcomes COVID European Public Health Pol,negative
